,text
1634,"думаю, что за num минут ожидания нужно делать скидку num !"
1635,просто очень долгая доставка
1636,.
1637,норм
1638,очень удобный сервис! спасибо
1639,быстрая доставка и много готовых вкусных блюд
1640,не знаю. доставка самого необходимого
1641,медленно привозите либо пишите большее время либо возите быстрее
1642,раньше было лучше
1643,"пишете num мин, доставляете за numnum"
1644,время доставки стоит num мин. за последние пол года мне ни разу не привезли заказ за num минут. обычно это numnum минут.
1645,"хорошая доставка, но лучше заботьтесь о своих карьерах"
1646,"фрукты и овощи приходят не первой свежести, салат максимально жухлый. доставка без отслежив., что неудобно, приходится стоять и ждать от num минуты до бесконечности. поиск в приложении ужасен. большое количество товара отсутствует"
1647,написано num минут.в действительности гораздо больше каждый раз
1648,"долго доставляют заказы, бывают моменты когда курьер хамит, звонишь в поддержку они на пофиг разговаривают"
1649,"последнее время заказы стали долго доставлять, при этом курьер пол часа сидит на цфз, т.к например мороженое пришло как будто с морозилки. хотя заказ доставлялся час."
1650,"стали долго доставлять заказать, без предупреждений"
1651,с доставкой беда
1652,все очень медленно
1653,"привозят порченные продукту, нет возможности оставить за это отзыв."
1654,"доставка очень долгая, мб это зависит от района города, но я устала ждать заказ час каждый раз"
1655,"в принципе нормально, хорошо бы ассортимент побольше"
1656,не вкусное основное меню
1657,мне нравится самокат можно чуть больше ассортимента а так хорошо
1658,очень часто заявленное время доставки можно умножать на num. хотелось бы видеть реальное время ожиданияа не просто видеть в приложении курьер вотвот будет и отслеживать курьера на карте. в этом вы сильно проигрываете яндексу.
1659,"обещаете доставку num минут, по факту она дольше, но это пол беды. поддержка отвратительная, там людям вообще все равно"
1660,курьеры постоянно опаздывают
1661,"каждый раз когда заказываю, есть проблемы с отображением в приложении, заказ часто отменяется, но потом его снова возобновляют, очень неудобно. спасибо за понимание!"
1662,"сравнительно небольшой ассортимент, часто задерживается доставка. в целом, не плохо, но иногда хочется больше выбора"
1663,норм
1664,"маленький ассортимент в сравнении с доставкой из магазинов, при этом цены выше, чем в магазинах"
1665,почти ни разу в последнее время заявленное время доставки не соблюдается. уже проще самому сходить.
1666,"раньше доставка осуществлялась намного быстрее, учитывая меньшее количество курьеров, чем сейчас. сумма заказа раньше была меньше для доставки. в итоге сейчас время доставки увеличились, как и сумма от которой можно сделать заказ."
1667,"я понимаю для чего была нужна фиксированная ценна, но раньше самокат позиционировался как вам нахватает одного продукта? для это есть самокат!. ассортимент уменьшился. добавьте вещи первой необходимости  перекись, бинты и т.д."
1668,"num. доставка за num минут в последнее время сказка, минимум numnum минут доставка. num. минимальная сумма заказа в редких случаях numnum, обычно больше. num. конкуренты в яндекс лавке, в данный момент намного лучше вас работают"
1669,сегодня долго собирают
1670,курьеры на саперной numа лучшие
1671,когда ваш сервис начинал работу был лучше
1672,долгая доставка
1673,"более быструю доставку, оперативность"
1674,из num доставок в num минут уложились всего один раз. сыну приводят до num минут. адрес один и тот же. почему так? просто интересно
1675,"не получится написать все, что я думаю. у вас количество символов в отзыве ограничено  сначала отменили доставки в мой район. я перестала пользоваться вашим сервисом. сегодня решила дать шанс. полное разочарование. спустя час я так и не получила заказ!"
1676,"удобно, что быстро. цены подняли чересчур высоко и до поддержки не допишешься вовремя."
1677,дорого
1678,"удобный сервис. выручает,когда нет возможности дойти до магазина,но сумки у доставщиков драные, продукты иногда все покиданы в пакет так, что йогурты оказываются внизу все сжатые. не всегда доброжелательны."
1679,"видеть, где находится курьер как в такси. в разделе акции сорка цен не только в категориях, но и в общем от мин к макс . когда у вас был конкурс в телеге, с баллами, бот затупил, а ответ прислали уже после окончания акции! пс мне не хватило букв"
1680,"не нравится, заказ из супермаркета, вместо num,num часа мне доставляют больше положенного  доставили около num час, а в другой раз вообще доставляли num с лишнем часов. и вместо того, чтобы предложить норм. в качестве извинений  предложили то, что и обычно"
1681,"неплохая кантора, но требует расширения ассортимента и побольше спецпредложений"
1682,"очень маленький ассортимент продукции и смущает факт, что в сети видео с наездом курьера самоката на кошку  от самоката нет информации, что стало с курьером живодером и что с кошкой. позиция в таких вопросах должна быть прозрачной."
1683,цены высокие. очень часто нет нужных продуктов
1684,"маленький ассортимент, дорого. последнее время доставка опаздывает более чем на час"
1685,все хорошо!
1686,"ограничение по символам. тут никто вс не перечислит. в стораз много полезного предлагают. из основного добавить комментарии, следить за просрочкой внимательнее, пофиксить баги в приложении."
1687,"временное увеличение стоимости доставки , простите , уже забало"
1688,"очень часто привозят продукты плохого качества , особенно мясо которое пахнет хотя у него хороший срок , видимо не правильно хранилось, мясо перестала заказывать и изза этого в приоритет ставлю яндекс лавку, хотелось бы больше ассортимент курицы"
1689,"с каждым днем хуже и хуже. сбор и доставка продуктов увеличивается по времени, даже вне часов пик. цены растут. проще прогуляться пешком num минут до магазина, лишние пару сотен за те же самые продукты можно сэкономить, за исключением скидок и акций."
1690,что то среднее
1691,сумма заказа
1692,обидно что убрали энергетики без сахара
1693,косячите часто 
1694,по моему адресу увеличили время доставки. и часто стали привозить некачественные продукты
1695,мало запеканки
1696,курьеры молчат в домофон и могут отменить заказ
1697,очень долгие доставки стали  постоянно высокий спрос
1698,да норм
1699,быстро
1700,медленно все
1701,курьер не увидел где находится звонок в типичном доме центра и отменил заказ даже не позвонив на телефон
1702,"долгая доставка, половины продуктов нет в ассортименте."
1703,ну хз
1704,не привезли заказанные продукты
1705,"доставка периодически опаздывает. заказываю на разные адреса и везде такая проблема. само приложение подвисает. иногда, в самый нужный момент, приложение вообще не работает. сами продукты с подходящим сроком годности. хлеб привозят numnum дневные."
1706,"привозят откровенно плохие продукты. часто привозили испорченную курицу и овощи с гнилью или плесенью. доставка всегда больше заявленных num минут, хотя даркстор находится очень близко. хочется видеть настоящее предполагаемое время доставки"
1707,"в принципе,вс достаточно хорошо,не приятненько только,что первый заказ и уже доставили позже положенного,а так вс вроде нормально"
1708,"вы  чудесный сервис, но доставка очень сильно разочаровывает в последнее время. вместо num минут приносят за час, очень часто случаются какиелибо путаницы с заказами, очень жаль "
1709,нормально
1710,очень маленький выбор продуктов
1711,больше выбора по магазинам
1712,гетла
1713,"заставьте курьеров шевелиться, бывает что по num минут заказ ждем"
1714,"уовссное и удобное приложение, но часто задерживается доставка"
1715,научите курьеров здороваться
1716,"иногда нету фруктов, и моя жена тратит на ваш сервис много денег заблокируйте е аккаунт"
1717,"бывают плохие товары , работа поддержки на высшем уровне"
1718,стали задерживаться с доставкой. за последние num мес ни разу не уложились в num мин
1719,очень часто привозят доставку с опозданием
1720,супер
1721,"хорошо, но можно и лучше."
1722,"последнее время доставку, заявленную как num минут, приходится ждать минут numnum. также в сравнении с другими сервисами цены на некоторые продукты сильно завышены."
1723,"не плохо, но постоянным клиентам нет хороших скидок."
1724,"слишком долго собирают заказы, о самой доставке вообще молчу."
1725,сильно увеличилось время доставки .
1726,плохо очень
1727,"блин вот жду заказ, что блять значит задерживаемся, курьер освободится и сразу к вам, ну что это за раздражение под вечер, извините хорошего дня"
1728,качество продуктов бывает подводит
1729,овощи и фрукты часто приезжают испорченные
1730,дорого у вас
1731,еда невкусная уже num раз заказываю и вс невкусно
1732,"к сожалению, в последнее время часто разочаровываюсь в самокате. срок годности продуктов почти истекший или же продукты приходят сомнительного качества. часто задерживается доставка. на мой взгляд, стирается изначальная концепция, которая так нравилась"
1733,курьеры привозят не целый зпказ
1734,долгая доставка
1735,стало намного хуже
1736,сервис конечно ужасный
1737,"часто к времени доставки есть вопросы некорректно указывается время прибытия курьера, это, к сожалению, не позволяет ориентироваться, особенно, если нужно быстро перекусить и бежать. но, даже при этом, доставка быстрая, по сравнению с аналогичными"
1738,"в последние разы время, указанное на доставку, и доставка по факту очень сильно отличается. пожалуйста улучшите скорость доставки или указывайте реальное время доставки"
1739,"уже второй раз за последнее время не получается оплатить заказ, и так весь день оба раза. выдат ошибку, и далее отмену заказа. а кушать то хочется"
1740,"всегда думал, что самокаткачество. но однажды заказал мясо и пришло протухшее мясо, воняло и было серое и залежавшееся"
1741,курьер едет более num минут
1742,"что заказ задерживается, ассортимент маловат, нет обычных вещей по типу обычный паштет без всего, только паштет, и так далее. иногда цены намного выше чем покупать в магазине, приходится в любом случае выходить на улицу"
1743,стала крайне долгая доставка
1744,"если бы сервис доставлял на заводы так, как это делают все другие доставки, то"
1745,"в плане доставки, вам нету равных. но цены и иногда просрочкая сталкивался"
1746,"максимально не клиентоориентированная поддержка. на вопрос когда и почему привезут заказ, ответ невероятен привезут, ну numnum минут. ничем помочь не могут. время в приложении отличалось от фактической на num минут. указано num, по факту уже прошло num"
1747,"каждый раз когда я заказываю мороженое, мне привозят его растаявшим, а как вы знаете, мороженое не рекомендуется перезамораживать. вот заказала опять, надеюсь на чудо"
1748,"а последнее время очень ухудшился сервис медленно, дорого и изза этого нет той изюминки самоката"
1749,дорого
1750,"от момента входа в приложения и добавления в корзину молока и хлеба, минимальная сумма заказа выросла num раза. неудобно"
1751,num
1752,"продукты хотелось бы более разнообразные, и снизить цены"
1753,круто
1754,"если продукта нет на складе, было бы здорово, чтобы клиент узнавал об этом не в момент получения заказа, а еще на этапе его сборки. возможно, стоило бы присылать уведомления либо звонить и предлагать клиенту альтернативу. беспокоит качество овощей."
1755,нормально расчитывать время доставки заказа. постоянно курьеры опаздывают
1756,"раньше цены были меньше, сейчас цены выше заказываю меньше"
1757,думаю обещеных num минут даже и не светит в доставке.
1758,"все хорошо, но иногда привозят некачественные овощи и фрукты, которые вот вот испортятся. нравится, что быстро привозят, есть ассортимент для веганов. хотелось бы небольшого расширения линейки продуктов.еще хотелось бы получать скидки за постоянные заказы"
1759,"очень долго, про заявленные num минут, просто пишут, по факту пол часа, можно было сбегать в магазин самому"
1760,"очень крутой и действительно удобный сервис! однако цены иногда разочаровывают. особенно когда минимальная цена заказа увеличивается в зависимости от какихто условий. в таком случае, хотелось бы видеть больше скидок и акций. ещ иногда доставка подводит"
1761,слишком часто опаздываете. вернеевсегда. в поддержке не возможно добиться никакой информации
1762,"сервис очень нравится,но опасаюсь заказывать овощи и фрукты так как качество отвратительное,часто испорченные продукты доставляют. очень жаль,ведь иногда они нужны"
1763,"мне нравится удобство самоката. но иногда цены кусаются, а также хотелось бы иметь возможность видеть, где находится курьер, когда производится доставка."
1764,"когда заказывала через сбермаркет в самокате, доставка как положено num минут не больше. но как стала пользоваться приложением, постоянные задержки хотя казалось бы один и тот же магазин и один и тот же ассортимент  можно сделать больше промокодов"
1765,дорого и маленький выбор
1766,долго стало ждать заказ
1767,
1768,"молоко всегда не свежее, многих позиций нет в наличии, это очень огорчает"
1769,
1770,"ребята, пожалуйста, пополните ассортимент чая, почти готовых товаров, снеков, напитков, гигиены и ухода за собой и цены вам не будет "
1771,неплохо. но просрочку получила
1772,норм
1773,"бананы принесли зелные , вот как такие ставить на праздничный стол для детей ? весь праздник коту под хвост"
1774,несколько раз подряд курьер задерживается на numnum минут
1775,иногда очень сильно задерживается доставка
1776,"если бы мне нужен был новый айфон или наушники, я бы с удовольствием обратила внимание на этот раздел, но мне нужна большая пачка прокладок always! а таковой нет. во многих похожих разделах приходится выбирать альтернативу вместо привычного"
1777,хотелось бы чтобы сотрудники тщательнее смотрели на внешний вид продуктов  особенно на зелень. а поддержка тщательнее смотрела количество товара на возврат.
1778,иногда салаты просроченные. доставка долгая
1779,"вы никогда не привозите в срок , никогда"
1780,
1781,"нормально,но иногда приходит просроченная еда .."
1782,
1783,"нанимаете директоровистеричичек,которые орут на подчиненных и сеют дизмораль в коллективе."
1784,"доставка с конца города приходит быстрее, чем самокат который в том же здании, где и я."
1785,слишком маленький ассортимент ограниченное количество некоторых товаров
1786,очень долгая доставка. за num минут давно ничего не привозят. в среднем numnum минут.
1787,"курьер не доставил часть товара, забыл вторую часть в машине, позже позвонил сказал, что доставит и так и не доставил"
1788,всем довольна
1789,"удобно заказывать,все относительно хорошо и удобно"
1790,"хорошая компания, удобная"
1791,цены пиздец у вас ребята
1792,"очень долгая доставка, порой до num минут. слишком скудный ассортимент , по сравнению с яндекс лавкой ."
1793,лавка лучше
1794,"нестабильная доставка, порой глупые курьеры, которые путаются в трех соснах."
1795,норм пацаны
1796,
1797,"очень долго, num минут это не быстрая доставка"
1798,"частенько получаю несвежий товар, но служба поддержки реагирует оперативно и помогает"
1799,"сегодня курьер мне сказалзаказ свой забирайте,он же не мой. поставил свою сумму в num от меня просто и непонятно как"
1800,постоянно задерживается доставка
1801,"отвратительно, что быстрая  доставка задерживается на час и никто не предупреждает"
1802,"в целом все хорошо , не очень удобное приложение и курьеры иногда опаздывают "
1803,долгая доставка
1804,самокат супер
1805,"два из трех заказов доставляют очень долго, в два, а иногда в три раза дольше заявленного. некоторые товары были плохого качества блины с плесенью"
1806,быстро
1807,"хороший сервис доставки продуктов, но очень часто не хватает ассортимента и цены на некоторые товары завышены"
1808,"отразилось сообщение, что скидка на заказ num и не понятно как ее припенить"
1809,слишком завышенные цены
1810,"в принципе все хорошо,но один раз нам привезли подгнивший перец и цены можно сделать поменьше, на какието продукты они заоблачные"
1811,"доставка не нравится больше всего, хочется понимать где курьер и через сколько точно он будет. часто пишет, что курьер вот вот будет у вас, но на деле это затягивается на num минут"
1812,"в начале вашей работы я даже не выходил в магазин, просто нажал кнопку, и вы успевали за num мин и собрать заказ и доставить его. а сейчас у вас это все по времени занимает numnumмин. и цены выросли в num раза."
1813,"мало ассортимента и цены выше, чем в аналогичных сервисах. радует, что бесплатная доставка, пользуюсь только изза этого"
1814,"самокат  это не сервис экспрессдоставки, концепция испортилась. доставляли заказ и num минут, и num.num часа, поддержка абсолютно ничего не знает и никак не может повлиять. извинений так и не получила. теперь заказываю только если нет привязки ко времени."
1815,хуйня
1816,"доставляете дольше, чем заявлено"
1817,"все нормально, последнее время долгая доставка"
1818,"пусть сотрудники звонят, прежде, чем отменить заказ"
1819,долгая доставкане num минут
1820,"сегодня делала заказ в numnum...по итогу поддержка пишет  через num минут ждите курьера,мы опаздываем это адекватное отношение к потребителю?"
1821,"самокат приложение неплохое, но я бы увечила ассортимент товаров и сделала пониже цены, так как некоторые продукты того не стоят, и в любом другом мазаните они в num раза дешевле"
1822,"в принципе все хорошо, но иногда приезжают не очень свежие продукты"
1823,"указано, что доставка num минут, но она всегда задерживается, поэтому занимает от num минут. каждый раз. иногда вообще спустя час говорят ждать еще час."
1824,"стала ооочень долгая доставка, а остальное нормально"
1825,надо улучшить сервис
1826,крутые
1827,очень дорого
1828,"изначально влюбилась в самокат за возможность быстро и за бесплатную доставку заказать необходимые наименования, но тут каждый раз доставка от num, а иногда и от num рублей"
1829,"доставка num минут, и вс ещ нет никого, это мощно"
1830,"удобно, но иногда дороговато"
1831,"дороже, чем в других магазинах"
1832,"ужасная доставку,очень долго"
1833,все плохо
1834,"минимальная цена заказа слишком увеличилась за поседений год. курьеры опаздывают на numnum минут, а иногда доставляют заказ минут num. отдельно хочу сказать, что некоторым курьерам стоит поучится вежливости и начать здороваться."
1835,ужас плохое обслуживание
1836,жопа
1837,в лавке ощущение будто скролл не такой топорный как у вас. вс плавнее сильнее. там блочная ещ получше работает. вот это поправить и топ будет 
1838,"я понимаю что живу далеко, но за все доставки около numnum штук мне привозили заказ вовремя только num раза"
1839,очень долгая доставка
1840,второй раз брала красные апельсины и второй раз они гнилые 
1841,"классно,круто,превосходно"
1842,"без акций выходит дорого, нет очень многих позиций шоколадки nuts например, энергетики находятся не в холодильнике всегда горячие приходится самому охлаждать, работаете с num, убогая яндекс лавка и то раньше открывается"
1843,
1844,слишком частые задержки доставки!
1845,.
1846,ни разу не приехали вовремя
1847,
1848,"испортились. уже заказываю у вас не так часто. num раза сталкивалась с некачественным товаром, рыба и курица"
1849,"все супер,качество овощей фрукто и всего что быстро портится отвратительно всегда старое"
1850,цены завышены
1851,
1852,"часто кладте товары с истекающим сроком годности товары не из раздела распродажи. сильно страдает качество то огурцы полужухлые, то ананас зеленый, то хлеб трехдневной давности, то еще чтото. спасает только ассортимент и скорость не всегда"
1853,ужасно. опоздали на num минут
1854,становитесь хуже
1855,вы классные з
1856,чутьчуть пооперативнее
1857,"больше ассортимент готовый еды, лучшее качество готовкой еды"
1858,привозите мне вс вотвот с истекшим сроком годности
1859,"начали прекрасно, через год сдулись"
1860,привет
1861,фрукты зеленые
1862,"можно позвонить , если товара нет в наличии и предложить замену , а не просто брать его и убирать из заказа. и делать это без предупреждения"
1863,почему то очень очень долгая доставка в мой дом
1864,"очень часто курьеры опаздывают. если такое происходит нужно проявлять какую то лояльность к клиенту, скидка или кэшбек"
1865,"удобное приложение, быстрая доставка, но к сожалению ассортимент проигрывает у конкурентов"
1866,"продукты всегда свежие. не нравится что вечером цены поднимаются очень сильно, нужно например что то срочно заказать и бюджет ограничен, а цена около num р. продукты быстро раскупают, и выбрать не из чего. высокая цена на некоторые продукты."
1867,подняли цены
1868,ужасно долгая доставка!
1869,"продукты под брендом самокат нужно убрать в отдельную категорию, и расширить ассортимент другой продукции, других брендов"
1870,"склад с которого нам привозят очень плохой. овощи и зелень всегда гнилые и с плесенью. доставка очень долгая, хотя вы позиционируете как быстрая доставка. расширить ассортимент мяса, других фирм."
1871,вы очень сильно испортились!
1872,на молочке срок годности остался num дня!
1873,"доставка  просто ужас. курьеры никогда не читают комментарии к заказу. написано звонить консьержу, звонят всегда в квартиру доставка, чаще всего, очень долгая, в центре постоянно повышенный спрос с огромными минимальными суммами заказа."
1874,все класс
1875,ужас а не сервис!
1876,"заявленые num минут доставки превращаются в num минут, я бы уже в магазин сама сходила два раза за это время. плюс ко всему, увеличивается сумма заказа."
1877,все хорошо. но иногда деньги на ветер испорчен
1878,"заказ обещают привезти за num минут, привозят за num,numnum часа, взамен предлагают скидку num."
1879,"доставка раньше была быстрее, щас долше"
1880,стали очень долго доставлять
1881,"меня не устраивает, что нельзя связаться с курьером. очень неудобно выбирать. за качество не всегда ответственны. особенно овощи могут придти плохого качества. цены высокие."
1882,нужно больше разнообразия готовой еды
1883,"очень плохой выбор хлеба, чаще всего не делаю заказ изза того, что весь хлеб очень искусственный. плюс пропал мой любимый язычок. я бы предупреждала об исчезновении товара пользователей, которые добавили его в избранное"
1884,
1885,"долгая доставка,высокий спрос"
1886,два последних раза вместо num минут доставка превысила полчаса 
1887,"мало куда могут доставлять, что очень грустно"
1888,"очень удобный сервис, но хромает поддержка с их ответами по скрипту, также бывает привозят испорченные продукты, у которых явно был нарушен способ хранения. к курьерам претензий нет."
1889,"до шелковичного проезда num доставка долгая было бы прекрасно, если бы скорость увеличилась, а время сократилось"
1890,норм
1891,"в последнее время очень часто привозят некачественные продукты, испорченные, с нарушением упаковки, самокат уже не тот, друзьям больше не рекомендую, наоборот выбираем другие варианты доставки чаще"
1892,доставка постоянно задерживается
1893,"очень долгая доставка, не соответствует таймеру"
1894,"все хорошо! но прежде чем собрать какой либо продукт , нужно проверять его качество. первый раз заказала и первый раз так осталась не довольна."
1895,везете заказ по часу хотя заявлено num минут
1896,хуйня собачья
1897,"курьеры постоянно задерживаются, поддержка отвечает раз через раз, раз обещаете доставку num минут, так увеличите количество курьеров, чтобы соответствовать своим обещаниям, а не предоставлять ожидание в num минут"
1898,"все хорошо, но выбор не большой и доставка частенько задерживается сильно"
1899,очень долгая стала доставка
1900,"доставка стала очень долгая, пятерка стала быстрее доставлять. хотя они не обещают за num мин"
1901,не влазит
1902,"поддержка толком не работает, пишите что скидка на сумму от num и в итоге нефига, зачем писать о скидках если вы сами их и не даете?"
1903,"в приложении может отображаться время доставки num минуты, по факту пройдт больше num"
1904,"долгая доставка, поддержка ничем не помогает"
1905,постоянные задержки доставки. все планы и график просто рушатся
1906,"очень дорогая минимальная цена ! если не уменьшите заказывать не буду, а я между прочим играю в премьер лиге по футболу"
1907,долгоооо
1908,хорошая доставка
1909,доставка постоянно задерживается жду по num минут
1910,
1911,"очень часто задержки,живем у базы и все равно чаще везут numnum минут.овощи всегда в плохом качестве"
1912,"долгая доставка, неправиное время доставки"
1913,"недавно делала заказ, указала, чтоб отправили все свежее. но, привезли батон numх дневной давности! при всем желании его не съесть за num день, потом он уже не подходит для употребления  тем более маленьким детям! очень расстроена!"
1914,"живу в самом центре города, доставка порой занимает час , а может и больше, часто могут привезти гнилые овощифрукты"
1915,"куда исчез раздел супермаркет? добавьте в раздел экспресссиликагелевый инаполнитель для кошек. было бы удобно нахождение курьера отслеживать на карте, а то опаздывают часто, а приложение пишет вот вот будет"
1916,"пиво безалкогольное балтика num стоит num, хотя везде стоит не больше num! жлобы"
1917,привет я на тебя подписан я на твой тик токи я на твой профиль подписано и на твой тик на мой твой аккаунт и ты мой самый любимый мой друг и у него тоже есть у меня тоже есть у него у тебя в телефоне есть у меня в тик токи у
1918,приложение не грузит картинку
1919,"я думаю, что вам нужно использовать упаковку товаров пригодную для переработки. а так же указывать это в карточке товаров. усовершенствовать доставку, чтобы отсутствовали пластиковые пакеты."
1920,"цены слишком завешены чем в супермаркетах, мало выбора. мало акции и скидок."
1921,"добрый день. раньше доставка была за numnum минут, можно было заказать немного. сейчас доставка numnum минут и ограничения на сумму заказа. весь смысл быстрой доставки того чего нехватает теряется. за numnum часа сейчас все доставляют. спасибо "
1922,"долгая доставка, раньше было лучше, в поддержке грубят и сбрасывают, долго возвращают деньги, а так супер"
1923,доставка плохо работает.
1924,"очень часто привозят несвежие овощи, на складе не следят за сроком годности продуктов"
